Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1121,CO1121_CA,CO1121_attendance,CO1122,CO1122_CA,CO1122_attendance,CO1112,CO1112_CA,CO1112_attendance,CO1123,CO1123_CA,CO1123_attendance,CO1124,CO1124_CA,CO1124_attendance,CO1114,CO1114_CA,CO1114_attendance,CO1125,CO1125_CA,CO1125_attendance,CO1115,CO1115_CA,CO1115_attendance,CO1126,CO1126_CA,CO1126_attendance,1sem_gpa,pre_sem_GPA,1sem_pass/fail
Female,2,Yes,No,Yes,A+,32,1,B,30,1,B+,29,1,B,29,1,C,30,1,B-,28,1,B,31,1,A+,30,1,C-,9,1,2.89,0,0
Male,1,Yes,Yes,No,A+,27,1,B+,26,1,A,29,1,B+,28,1,B+,21,1,B+,25,1,B-,24,1,A+,31,1,C,22,1,3.23,0,1
Male,2,Yes,Yes,No,A+,32,1,A-,25,1,A+,31,1,A-,26,1,A+,28,1,B+,20,1,B-,29,1,A+,15,1,C,15,1,3.43,0,1
Male,4,No,No,No,A-,21,1,C,12,1,B-,14,1,B-,15,1,B-,17,1,C-,7,1,B,19,1,A+,21,1,C+,18,1,2.74,0,0
Male,less than 1 hour,Yes,Yes,Yes,A+,13,1,A-,11,1,A,12,1,A,10,1,B+,10,1,D+,8,1,A,15,1,A+,20,1,B+,12,1,3.59,0,0
Female,3,No,No,Yes,A+,31,1,B+,30,1,A,33,1,A-,32,1,B+,30,1,A-,34,1,A-,28,1,A+,33,1,B,35,1,3.58,0,1
Female,2,No,No,Yes,B,20,1,B+,25,1,A-,25,1,C,22,1,C+,29,1,A,30,1,C,29,1,B+,30,1,A,30,1,2.95,0,1
Male,1,Yes,Yes,Yes,C,10,1,B+,28,1,D,10,1,C+,15,1,D+,9,1,C,25,1,B-,10,1,C,25,1,D+,6,1,2.05,0,0
Male,more than 6 hours,No,No,No,A,25,1,A+,26,1,B,23,1,A,29,1,B,23,1,A+,28,1,A-,28,1,A,29,1,B-,24,1,3.59,0,1
Male,less than 1 hour,Yes,No,No,B+,22,1,B+,25,1,B+,20,1,A,29,1,C+,25,1,B+,28,1,B,28,1,C+,28,1,C,20,1,2.98,0,1
Male,more than 6 hours,No,No,No,D+,10,1,C,22,1,C-,21,1,B-,23,1,D,20,1,C,22,1,D+,28,1,D+,20,1,A-,25,1,1.93,0,0
Male,2,Yes,No,Yes,A+,25,1,A+,28,1,A+,24,1,A-,26,1,B+,30,1,A,29,1,A,29,1,A-,30,1,A,29,1,3.85,0,1
Female,4,No,No,Yes,D+,9,1,ab,18,1,C+,19,1,B,20,1,B-,22,1,C+,21,1,ab,8,1,D,11,1,C,20,1,1.57,0,0
Male,2,Yes,No,No,B+,20,1,C,14,1,B,23,1,C,28,1,B,23,1,B,28,1,C,9,1,B,12,1,C+,15,1,2.55,0,1
Male,less than 1 hour,Yes,No,No,C+,23,1,A-,25,1,B-,24,1,B+,32,1,C+,28,1,B+,30,1,B+,12,1,C+,10,1,B,15,1,2.94,0,1
Female,4,Yes,No,Yes,A+,28,1,A+,28,1,A+,30,1,B,22,1,A-,30,1,A,30,1,A+,20,1,A,29,1,A,28,1,3.83,0,1
Female,4,No,No,Yes,C,11,1,B,20,1,C,20,1,C,24,1,C+,26,1,C,15,1,B-,23,1,B+,26,1,C+,15,1,2.39,0,1
Male,2,No,No,No,D+,5,1,B,21,1,D,22,1,D,27,1,D,25,1,C,20,1,D,12,1,C-,9,1,D+,11,1,1.46,0,0
Male,1,Yes,No,Yes,C,10,1,C+,11,1,B,23,1,C,25,1,C+,23,1,B,29,1,B,28,1,B-,20,1,C+,20,1,2.43,0,1
Female,3,Yes,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,0,0
Male,2,Yes,No,Yes,A-,30,1,B+,29,1,A+,31,1,A,27,1,A,28,1,A+,32,1,A+,31,1,A-,30,1,C+,20,1,3.62,0,1
Female,more than 6 hours,No,No,No,A-,26,1,B-,25,1,C+,26,1,A-,28,1,A-,27,1,A-,25,1,B+,29,1,C+,18,1,D+,7,1,3,0,0
Male,less than 1 hour,Yes,No,Yes,A-,31,1,A-,32,1,A,30,1,A+,29,1,A+,31,1,A+,28,1,A+,30,1,A+,29,1,A-,31,1,3.88,0,1
Male,1,Yes,Yes,No,B+,27,1,A,29,1,A,25,1,B,29,1,A+,30,1,A+,29,1,A+,30,1,A-,27,1,B,26,1,3.62,0,1
Male,less than 1 hour,Yes,No,Yes,A-,32,1,B,30,1,B,31,1,A-,30,1,A,32,1,B+,31,1,A+,32,1,B+,32,1,C,18,1,3.36,0,1
