Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1221,CO1221_CA,CO1221_attendance,CO1222,CO1222_CA,CO1222_attendance,CO1212,CO1212_CA,CO1212_attendance,CO1223,CO1223_CA,CO1223_attendance,CO1213,CO1213_CA,CO1213_attendance,CO1224,CO1224_CA,CO1224_attendance,CO1214,CO1214_CA,CO1214_attendance,CO1225,CO1225_CA,CO1225_attendance,CO1226,CO1226_CA,CO1226_attendance,2sem_gpa,1st_sem_GPA,2sem_pass/fail
Female,2,Yes,No,Yes,C+,10,1,B-,28,1,B,15,1,C,19,1,B-,12,1,C+,22,1,C,12,1,B,16,1,B+,28,1,2.59,2.89,1
Male,1,Yes,Yes,No,C,18,1,C+,26,1,C+,12,1,C,11,1,A-,14,1,B-,27,1,C+,13,1,B-,11,1,A,27,1,2.64,3.23,1
Male,2,Yes,Yes,No,C,12,1,A,35,1,A+,15,1,B+,17,1,A+,16,1,A-,30,1,B,10,1,B,13,1,A-,30,1,3.36,3.43,1
Male,4,No,No,No,C,19,1,C,19,1,C,12,1,C+,18,1,B+,16,1,C,13,1,C,12,1,B-,10,1,C+,25,1,2.26,2.74,1
Male,less than 1 hour,Yes,Yes,Yes,C,15,1,B+,34,1,A+,15,1,C,11,1,A+,16,1,C+,25,1,B-,13,1,B+,10,1,B+,31,1,2.87,3.59,1
Female,3,No,No,Yes,B-,10,1,A-,34,1,A+,15,1,B-,12,1,A,14,1,B-,25,1,C+,12,1,B+,12,1,B+,29,1,3.14,3.58,1
Female,2,No,No,Yes,A,20,1,A+,32,1,A,32,1,A+,30,1,C+,20,1,A,30,1,B+,28,1,B,12,1,A-,32,1,3.66,2.95,1
Male,1,Yes,Yes,Yes,C,15,1,ab,0,0,ab,10,0,B,31,1,B-,29,1,B,30,1,C+,25,1,C,9,1,C-,23,1,1.89,2.05,0
Male,more than 6 hours,No,No,No,A+,29,1,A+,33,1,A+,30,1,A+,30,1,A,30,1,A,30,1,A+,29,1,A-,30,1,A,30,1,3.96,3.59,1
Male,less than 1 hour,Yes,No,No,A-,28,1,A+,30,1,B,28,1,A+,29,1,B+,32,1,A+,30,1,A,29,1,B-,33,1,A-,32,1,3.63,2.98,1
Male,more than 6 hours,No,No,No,D+,12,1,ab,0,0,ab,6,0,B-,28,1,B-,32,1,C+,23,1,C+,21,1,C,13,1,D+,8,1,1.61,1.93,0
Male,2,Yes,No,Yes,A+,30,1,A+,30,1,B+,28,1,A+,22,1,A-,30,1,A+,30,1,A+,28,1,A-,28,1,A,26,1,3.89,3.85,1
Female,4,No,No,Yes,B+,30,1,ab,0,0,ab,25,0,A-,15,1,B-,32,1,A-,29,1,ab,0,0,C,16,1,ab,0,1,1.87,1.57,0
Male,2,Yes,No,No,C,15,1,B,27,1,B,31,1,B-,23,1,B+,33,1,C+,21,1,A,29,1,B,25,1,B-,29,1,2.78,2.55,1
Male,less than 1 hour,Yes,No,No,A-,25,1,A+,28,1,B,32,1,B+,25,1,C+,15,1,A-,29,1,C+,15,1,B-,25,1,B+,30,1,3.26,2.94,1
Female,4,Yes,No,Yes,B,23,1,A+,26,1,A+,33,1,B+,19,1,A+,29,1,A,30,1,A+,31,1,A,29,1,A,30,1,3.77,3.83,1
Female,4,No,No,Yes,B+,26,1,B+,28,1,C+,21,1,C,22,1,B+,18,1,B,32,1,B-,33,1,B+,28,1,B+,32,1,2.98,2.39,1
Male,2,No,No,No,C-,9,1,C+,20,1,D,20,1,D,8,1,B-,19,1,B+,30,1,C+,12,1,C,20,1,ab,0,0,1.77,1.46,0
Male,1,Yes,No,Yes,C,22,1,B,25,1,C+,19,1,C,25,1,A-,19,1,B+,32,1,A-,26,1,B,27,1,ab,0,0,2.42,2.43,0
Female,3,Yes,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,0,0
Male,2,Yes,No,Yes,A,29,1,A,28,1,B,27,1,B-,27,1,B,25,1,B-,29,1,B+,28,1,B-,25,1,B+,30,1,3.21,3.62,1
Female,more than 6 hours,No,No,No,A,26,1,A+,30,1,B,26,1,B-,25,1,A,26,1,B-,27,1,C+,20,1,B,24,1,B,26,1,3.21,3,1
Male,less than 1 hour,Yes,No,Yes,A+,31,1,A+,30,1,B+,29,1,A-,31,1,A-,28,1,A-,29,1,B+,30,1,A-,29,1,B+,27,1,3.67,3.88,1
Male,1,Yes,Yes,No,A+,32,1,A+,31,1,A+,30,1,B,25,1,A,28,1,B+,29,1,A+,32,1,B,26,1,A-,27,1,3.6,3.62,1
Male,less than 1 hour,Yes,No,Yes,A,31,1,A-,29,1,B,30,1,C+,15,1,B+,29,1,B,27,1,B,27,1,B+,29,1,A,32,1,3.33,3.36,1
Male,5,No,No,No,A-,26,1,A+,33,1,A,25,1,B-,27,1,A,28,1,B,29,1,A-,28,1,A-,27,1,A-,25,1,3.55,3.81,1
Male,2,Yes,No,Yes,A,30,1,A,31,1,A+,29,1,C+,10,1,A,29,1,C,16,1,A-,30,1,A-,31,1,B-,25,1,3.27,3.26,1
