Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2121,CO2121_CA,CO2121_attendance,CO2122,CO2122_CA,CO2122_attendance,CO2112,CO2112_CA,CO2112_attendance,CO2123,CO2123_CA,CO2123_attendance,CO2124,CO2124_CA,CO2124_attendance,CO2114,CO2114_CA,CO2114_attendance,CO2125,CO2125_CA,CO2125_attendance,CO2115,CO2115_CA,CO2115_attendance,CO2126,CO2126_CA,CO2126_attendance,3sem_gpa,2nd_sem_GPA,3sem_pass/fail
Female,2,Yes,No,Yes,B+,12,1,A-,28,1,B,28,1,C,20,1,B-,26,1,A+,30,1,B-,22,1,A-,29,1,B,27,1,3.03,2.74,1
Male,1,Yes,Yes,No,B+,13,1,B,15,1,A-,28,1,D+,6,1,B-,26,1,A+,32,1,D+,9,1,B+,30,1,B-,29,1,2.65,2.935,0
Male,2,Yes,Yes,No,B-,18,1,A,28,1,A+,30,1,ab,10,1,A,29,1,A+,32,1,B+,24,1,A+,30,1,B,29,1,3.06,3.395,0
Male,4,No,No,No,B-,20,1,C+,22,1,B,27,1,E,8,1,C-,9,1,A+,31,1,E,6,1,B+,31,1,C+,18,1,1.88,2.5,0
Male,less than 1 hour,Yes,Yes,Yes,B,13,1,A-,29,1,A,30,1,C,18,1,B-,22,1,A-,30,1,B-,17,1,A+,31,1,B-,24,1,3.02,3.23,1
Female,3,No,No,Yes,B,10,1,A-,25,1,A,32,1,C,21,1,B-,28,1,A,30,1,B-,16,1,A+,31,1,B-,26,1,3.03,3.36,1
Female,2,No,No,Yes,A-,28,1,B+,24,1,A-,31,1,B-,21,1,C+,29,1,A,30,1,C,0,1,B,33,1,B+,25,1,3.02,3.305,1
Male,1,Yes,Yes,Yes,D+,4,1,B+,22,1,D,8,1,C+,30,1,E,11,1,C-,9,1,D+,20,1,C,17,1,D,8,1,1.54,1.97,0
Male,more than 6 hours,No,No,No,B+,35,1,A,29,1,A-,29,1,A,22,1,B+,27,1,A+,30,1,A,31,1,B-,23,1,A-,30,1,3.66,3.775,1
Male,less than 1 hour,Yes,No,No,B,21,1,B+,22,1,B+,29,1,B+,10,1,C,25,1,B,31,1,C,15,1,C+,16,1,B-,20,1,2.75,3.305,1
Male,more than 6 hours,No,No,No,C-,18,1,C+,17,1,C,15,1,D+,25,1,D,0,1,C+,22,1,C,13,1,D,12,1,D+,5,1,1.63,1.77,0
Male,2,Yes,No,Yes,A,27,1,A,28,1,A+,29,1,A-,22,1,B,20,1,A+,29,1,A+,30,1,A-,29,1,A+,30,1,3.81,3.87,1
