Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2221,CO2221_CA,CO2221_attendance,CO2222,CO2222_CA,CO2222_attendance,CO2212,CO2212_CA,CO2212_attendance,CO2223,CO2223_CA,CO2223_attendance,CO2213,CO2213_CA,CO2213_attendance,CO2224,CO2224_CA,CO2224_attendance,CO2214,CO2214_CA,CO2214_attendance,CO2225,CO2225_CA,CO2225_attendance,CO2226,CO2226_CA,CO2226_attendance,4sem_gpa,3rd_sem_GPA,4sem_pass/fail
Female,2,Yes,No,Yes,C,17,1,C+,26,1,A-,15,1,C+,24,1,A,27,1,B,23,1,A+,23,1,C+,22,1,C,25,1,2.63,2.836666667,1
Male,1,Yes,Yes,No,C-,9,1,D,5,1,B,14,1,C,23,1,A-,27,1,D,6,1,A,21,1,B-,25,1,ab,9,0,1.83,2.84,0
Male,2,Yes,Yes,No,B,25,1,C-,8,1,A-,22,1,B-,21,1,A-,30,1,B-,25,1,A+,25,1,B+,28,1,ab,6,0,2.54,3.283333333,0
Male,4,No,No,No,C-,6,1,D,9,1,C+,17,1,ab,21,0,B-,19,1,ab,21,0,A-,21,1,D,9,1,ab,7,0,1.07,2.293333333,0
Male,less than 1 hour,Yes,Yes,Yes,B,28,1,D+,6,1,B,20,1,B,24,1,B+,30,1,C+,25,1,A,25,1,B-,22,1,C+,28,1,2.63,3.16,0
Female,3,No,No,Yes,ab,5,0,ab,22,0,ab,6,0,ab,23,0,ab,30,0,ab,25,0,ab,25,0,ab,8,0,ab,9,0,0,3.25,0
Female,2,No,No,Yes,A+,30,1,B+,23,1,B,28,1,A-,29,1,B+,31,1,A,30,1,A+,30,1,A+,31,1,A-,30,1,3.71,3.21,1
Male,1,Yes,Yes,Yes,D+,7,1,C+,24,1,A-,29,1,D+,0,1,C-,10,1,C-,8,1,A,29,1,C,12,1,B,29,1,2.17,1.826666667,0
Male,more than 6 hours,No,No,No,B+,28,1,B,26,1,A-,29,1,B-,30,1,C+,22,1,B+,29,1,A+,29,1,A,29,1,A,30,1,3.37,3.736666667,1
Male,less than 1 hour,Yes,No,No,B,28,1,B,26,1,B+,30,1,B-,30,1,C,28,1,B-,30,1,B+,25,1,B-,26,1,C+,22,1,2.76,3.12,1
Male,more than 6 hours,No,No,No,A,30,1,B+,23,1,A,30,1,B+,31,1,A+,29,1,A+,30,1,A,30,1,B-,29,1,B-,26,1,3.47,1.723333333,1
Male,2,Yes,No,Yes,C,0,1,C-,21,1,A-,30,1,B+,31,1,A,30,1,C,21,1,A,32,1,C,16,1,B,25,1,2.65,3.85,0
Female,4,No,No,Yes,A+,31,1,B,29,1,A-,29,1,A,32,1,A-,31,1,A+,29,1,A+,30,1,A,30,1,A,31,1,3.83,1.7,1
Male,2,Yes,No,No,C,21,1,C+,23,1,B,28,1,C+,14,1,B,30,1,C,12,1,B+,27,1,B-,30,1,C+,14,1,2.43,2.646666667,1
Male,less than 1 hour,Yes,No,No,B,30,1,C+,20,1,B+,28,1,B-,29,1,B-,30,1,B-,25,1,A,30,1,B-,22,1,B-,27,1,2.81,2.936666667,1
Female,4,Yes,No,Yes,A+,31,1,B+,29,1,A+,28,1,A,30,1,A+,31,1,A+,31,1,A+,29,1,A+,31,1,A,30,1,3.91,3.823333333,1
Female,4,No,No,Yes,B-,22,1,B,12,1,A,29,1,B+,29,1,A-,28,1,B+,25,1,B,25,1,A-,31,1,A,31,1,3.38,2.603333333,1
Male,2,No,No,No,C+,17,1,C,16,1,A-,30,1,C+,20,1,A+,31,1,C-,21,1,B+,29,1,C,15,1,B,30,1,2.51,1.496666667,0
Male,1,Yes,No,Yes,B+,20,1,C+,12,1,A-,30,1,B,26,1,B-,24,1,A-,29,1,A+,31,1,A,30,1,B-,30,1,3.23,2.416666667,1
Female,3,Yes,No,No,B,19,1,C+,12,1,B,30,1,B,26,1,C,20,1,B-,29,1,A,30,1,B,27,1,C+,11,1,2.77,0,1
Male,2,Yes,No,Yes,B+,27,1,A-,23,1,A,20,1,B+,28,1,B-,24,1,A-,28,1,A-,27,1,A,26,1,B+,26,1,3.53,3.526666667,1
Female,more than 6 hours,No,No,No,A-,27,1,B+,15,1,A-,20,1,A+,30,1,A-,31,1,A+,30,1,A-,29,1,A+,29,1,A,29,1,3.8,3.286666667,1
Male,less than 1 hour,Yes,No,Yes,A+,30,1,A-,27,1,A-,20,1,A,30,1,B+,29,1,A+,31,1,A-,30,1,A+,29,1,A+,30,1,3.87,3.843333333,1
Male,1,Yes,Yes,No,A,22,1,B+,19,1,A,25,1,B+,25,1,A+,31,1,A-,30,1,A+,30,1,A-,29,1,A,26,1,3.73,3.59,1
Male,less than 1 hour,Yes,No,Yes,A,29,1,B,28,1,A-,25,1,A+,30,1,A+,30,1,A-,31,1,B,29,1,A,29,1,A-,28,1,3.7,3.47,1
Male,5,No,No,No,A-,21,1,B,18,1,A-,25,1,A-,29,1,A+,30,1,A-,30,1,A-,25,1,A+,30,1,A,26,1,3.71,3.703333333,1
Male,2,Yes,No,Yes,A-,31,1,B,29,1,B+,28,1,A,29,1,A+,30,1,A+,31,1,A-,31,1,A+,30,1,A,26,1,3.76,3.433333333,1
Male,less than 1 hour,No,Yes,No,C+,15,1,C,20,1,A-,30,1,C,20,1,A+,30,1,C+,20,1,B,21,1,B-,23,1,C-,17,1,2.45,2.613333333,0
Female,3,Yes,No,No,A,27,1,A-,25,1,A,30,1,B,28,1,A,30,1,A+,29,1,B,26,1,A+,30,1,A+,29,1,3.76,3.68,1
Male,3,Yes,No,No,B+,19,1,B+,19,1,B+,23,1,A-,31,1,B+,30,1,B,22,1,B-,20,1,A-,30,1,A-,27,1,3.38,3.273333333,1
Male,2,Yes,No,No,B,31,1,C+,18,1,B,27,1,B+,31,1,B,30,1,C+,15,1,B+,29,1,B-,28,1,B+,26,1,2.87,2.733333333,1
Male,1,Yes,Yes,No,C+,16,1,B-,20,1,A-,30,1,C+,16,1,C,18,1,C+,15,1,A,26,1,C+,19,1,B-,26,1,2.59,2.796666667,1
Male,2,No,Yes,Yes,A-,26,1,B,24,1,A,30,1,A,30,1,A+,31,1,B,25,1,B-,26,1,A,27,1,A+,31,1,3.61,3.233333333,1
Male,more than 6 hours,No,No,No,A-,28,1,B,25,1,A,30,1,B-,29,1,B+,26,1,A,28,1,B+,29,1,B+,27,1,B-,28,1,3.29,3.203333333,1
Male,5,No,No,Yes,A-,20,1,B+,26,1,A,31,1,A-,25,1,A,29,1,A+,29,1,B-,26,1,A+,30,1,A+,31,1,3.74,3.306666667,1
Male,5,No,No,Yes,C-,10,1,B-,30,1,B+,31,1,C,10,1,B-,29,1,C+,15,1,A-,31,1,C+,19,1,D+,10,1,2.29,2.096666667,0
Male,more than 6 hours,No,No,No,B,24,1,B+,21,1,A,31,1,B,26,1,B-,19,1,A-,28,1,A-,25,1,A-,25,1,B,25,1,3.32,3.326666667,1
Female,6,No,No,No,B+,28,1,B,25,1,A-,31,1,A-,30,1,B+,27,1,B,28,1,A-,29,1,A-,25,1,B,29,1,3.34,3.27,1
Male,3,Yes,No,Yes,B-,21,1,B-,23,1,A-,31,1,B-,24,1,B,26,1,C+,21,1,B-,22,1,B-,23,1,C+,19,1,2.68,2.866666667,1
Male,1,Yes,Yes,Yes,D+,12,1,B-,30,1,B,30,1,C-,12,1,B,30,1,D,16,1,B+,30,1,B-,22,1,E,12,1,1.87,1.853333333,0
Male,3,No,No,No,ab,0,0,C-,9,1,B,30,1,C+,12,1,B-,22,1,E,5,1,B-,25,1,B-,23,1,C+,12,1,1.76,2.396666667,0
Male,4,No,No,No,A-,27,1,B+,26,1,A-,31,1,A,29,1,A,30,1,B+,27,1,A,28,1,A+,29,1,A+,29,1,3.75,2.093333333,1
Male,5,No,No,No,D,13,1,C,18,1,B-,31,1,C-,10,1,A,27,1,E,6,1,B+,29,1,C+,19,1,C,15,1,1.86,3.033333333,0
Male,5,No,No,Yes,A,20,1,B+,21,1,A,30,1,A-,30,1,A,28,1,B-,23,1,B,22,1,B+,24,1,A-,29,1,3.49,2.436666667,1
Male,3,No,No,Yes,B,31,1,C,19,1,B+,30,1,C-,10,1,B-,29,1,C+,21,1,B+,31,1,B-,29,1,B,30,1,2.58,3.626666667,0
Male,2,No,No,No,C-,14,1,C+,21,1,B,30,1,D+,8,1,A-,27,1,B-,26,1,B+,25,1,B,25,1,D+,11,1,2.31,2.716666667,0
Male,5,No,No,No,A-,19,1,A-,25,1,B+,30,1,B+,20,1,B,26,1,A,30,1,A-,27,1,A+,30,1,A,24,1,3.69,2.883333333,1
Female,6,No,No,No,A,30,1,A-,25,1,A-,31,1,A+,31,1,A,28,1,A+,30,1,B,27,1,A+,30,1,A+,30,1,3.87,3.513333333,1
Female,more than 6 hours,No,No,No,A-,25,1,A-,25,1,A-,29,1,A+,31,1,A-,28,1,A,29,1,B-,27,1,A+,30,1,A+,30,1,3.79,3.46,1
Female,5,No,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,2.086666667,0
Male,5,Yes,No,No,A,25,1,A+,28,1,A,29,1,A+,22,1,A,24,1,A-,19,1,A+,26,1,A,24,1,A+,20,1,3.96,3.96,1
Male,1,Yes,Yes,Yes,B,31,1,B+,27,1,B+,28,1,A-,26,1,B+,30,1,B,21,1,A-,29,1,B,25,1,A,19,1,3.35,1.373333333,1
Male,less than 1 hour,Yes,Yes,No,A+,29,1,A,21,1,A-,24,1,A,28,1,A+,23,1,A+,17,1,A+,28,1,A,23,1,A+,27,1,3.98,3.346666667,1
Male,1,No,Yes,No,A,30,1,B,25,1,A+,27,1,A,30,1,A-,26,1,A,29,1,A,28,1,B+,28,1,A,24,1,3.75,3.266666667,1
Male,4,No,No,No,B+,32,1,A,29,1,A-,28,1,A,31,1,A+,29,1,B,31,1,A+,32,1,B,29,1,A,26,1,3.62,3.21,1
Female,2,Yes,No,Yes,A-,24,1,B+,19,1,A,27,1,A-,26,1,B,22,1,B,17,1,A-,26,1,A+,19,1,B,21,1,3.47,3.02,1
