Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CS3121,CS3121_CA,CS3121_attendance,CS3111,CS3111_CA,CS3111_attendance,CS3122,CS3122_CA,CS3122_attendance,CS3112,CS3112_CA,CS3112_attendance,CS3123,CS3123_CA,CS3123_attendance,CS3113,CS3113_CA,CS3113_attendance,CS3124,CS3124_CA,CS3124_attendance,CS3114,CS3114_CA,CS3114_attendance,CS3135,CS3135_CA,CS3135_attendance,5sem_gpa,4th_sem_GPA,5sem_pass/fail
Female,2,Yes,No,Yes,A,24,1,C+,28,1,B,19,1,B-,31,1,B-,25,1,B+,27,1,C,29,1,B,30,1,B-,26,1,2.85,2.785,1
Male,1,Yes,Yes,No,B-,27,1,B-,30,1,C-,8,1,D+,7,1,C-,9,1,C-,5,1,B-,25,1,A-,29,1,D+,7,1,2.06,2.5875,0
Male,2,Yes,Yes,No,A-,25,1,A+,22,1,B+,29,1,B,29,1,A-,18,1,A+,28,1,B+,31,1,A,22,1,B,19,1,3.46,3.0975,1
Male,4,No,No,No,C+,23,1,C+,26,1,E,4,1,D+,6,1,D+,7,1,D,5,1,C-,6,1,B-,18,1,D,8,1,1.39,1.9875,0
Male,less than 1 hour,Yes,Yes,Yes,A-,20,1,C+,19,1,B-,26,1,C+,26,1,B+,29,1,A+,29,1,B+,22,1,A+,21,1,B+,20,1,3.23,3.0275,1
Female,3,No,No,Yes,ab,31,0,ab,33,0,ab,22,0,ab,30,0,ab,28,0,ab,29,0,ab,24,0,ab,25,0,ab,27,0,0,2.4375,0
Female,2,No,No,Yes,A+,30,1,B+,31,1,A-,30,1,A,29,1,B+,25,1,A+,31,1,A,28,1,A-,30,1,A,30,1,3.8,3.335,1
Male,1,Yes,Yes,Yes,A+,31,1,A+,30,1,A,30,1,C,12,1,C+,18,1,A,30,1,C+,20,1,B-,26,1,C,15,1,2.93,1.9125,1
Male,more than 6 hours,No,No,No,A+,31,1,B+,30,1,A-,30,1,A,29,1,A-,29,1,A+,29,1,B-,27,1,B-,26,1,C+,12,1,3.27,3.645,1
Male,less than 1 hour,Yes,No,No,A+,31,1,B,31,1,B-,29,1,B-,28,1,B+,28,1,A+,29,1,B-,27,1,B,27,1,B-,25,1,3.08,3.03,1
Male,more than 6 hours,No,No,No,A-,30,1,A-,29,1,B-,28,1,B+,28,1,A-,30,1,B+,26,1,B+,26,1,A+,29,1,B+,25,1,3.4,2.16,1
Male,2,Yes,No,Yes,A,29,1,B+,29,1,C+,22,1,A+,30,1,C+,14,1,A,26,1,B-,29,1,A,30,1,C+,20,1,2.99,3.55,1
Female,4,No,No,Yes,A+,29,1,A,30,1,A,29,1,A-,30,1,B+,28,1,A,26,1,A,30,1,A,31,1,B-,22,1,3.63,2.2325,1
Male,2,Yes,No,No,B+,27,1,A-,31,1,B-,23,1,A-,31,1,C,0,1,B+,29,1,B+,30,1,A+,31,1,C-,6,1,2.83,2.5925,0
Male,less than 1 hour,Yes,No,No,B+,24,1,A+,30,1,C-,7,1,C-,9,1,B-,27,1,A,31,1,C+,17,1,A+,31,1,C+,15,1,2.71,2.905,1
Female,4,Yes,No,Yes,A+,30,1,A-,31,1,A-,30,1,A+,31,1,A,30,1,A+,30,1,A,29,1,A+,31,1,B+,26,1,3.8,3.845,1
Female,4,No,No,Yes,A,29,1,A+,30,1,A+,29,1,A,29,1,B+,29,1,B+,27,1,C+,13,1,A+,30,1,B-,27,1,3.37,2.7975,1
Male,2,No,No,No,A,29,1,A+,30,1,A+,29,1,A,31,1,B-,27,1,A-,30,1,B+,26,1,A+,29,1,C+,24,1,3.37,1.75,1
Male,1,Yes,No,Yes,A-,28,1,B+,27,1,A+,29,1,B+,27,1,B,28,1,A,32,1,B-,27,1,B+,27,1,C+,18,1,3.17,2.62,1
Female,3,Yes,No,No,A-,27,1,A+,29,1,C-,23,1,E,8,1,B,28,1,A,31,1,C+,15,1,A-,28,1,C+,15,1,2.66,0.6925,0
Male,2,Yes,No,Yes,B+,26,1,A,30,1,B+,27,1,B+,26,1,B-,31,1,A+,28,1,A-,30,1,A+,30,1,C+,19,1,3.21,3.5275,1
Female,more than 6 hours,No,No,No,A-,29,1,A+,30,1,A,25,1,B,23,1,B,21,1,B+,24,1,B,25,1,A-,27,1,B-,23,1,3.3,3.415,1
Male,less than 1 hour,Yes,No,Yes,A+,30,1,A+,30,1,A+,29,1,B,27,1,B-,31,1,A+,30,1,A-,29,1,A+,31,1,A-,30,1,3.66,3.85,1
Male,1,Yes,Yes,No,A-,29,1,A,25,1,A-,20,1,A-,25,1,B,24,1,A+,31,1,B,25,1,A+,30,1,C+,18,1,3.29,3.625,1
Male,less than 1 hour,Yes,No,Yes,B+,27,1,A-,28,1,B,27,1,B+,26,1,B+,29,1,A+,30,1,B-,27,1,A-,30,1,C+,22,1,3.08,3.5275,1
Male,5,No,No,No,A+,30,1,A+,30,1,A+,31,1,B-,26,1,B,22,1,A+,31,1,B+,20,1,A+,31,1,A-,27,1,3.63,3.705,1
Male,2,Yes,No,Yes,B+,31,1,A+,31,1,A-,30,1,B,28,1,B,32,1,A,30,1,C,17,1,A,31,1,C-,12,1,2.94,3.515,0
Male,less than 1 hour,No,Yes,No,B+,24,1,A+,31,1,B+,22,1,C+,20,1,C,20,1,A,30,1,C+,20,1,B+,27,1,C+,22,1,2.82,2.5725,1
Female,3,Yes,No,No,B+,29,1,A+,31,1,A,30,1,C+,20,1,A-,30,1,A-,30,1,B,28,1,B+,30,1,B-,28,1,3.29,3.7,1
Male,3,Yes,No,No,B+,28,1,A-,23,1,B,20,1,B,20,1,B,20,1,A+,30,1,C,14,1,A-,30,1,B,26,1,3.06,3.3,1
Male,2,Yes,No,No,B+,30,1,A,30,1,B-,19,1,B+,25,1,B,31,1,A+,30,1,B-,30,1,B,31,1,C+,21,1,2.97,2.7675,1
Male,1,Yes,Yes,No,B,24,1,A+,30,1,B-,19,1,C,17,1,C,19,1,B+,31,1,C+,21,1,A-,28,1,D+,18,1,2.46,2.745,0
Male,2,No,Yes,Yes,A-,27,1,B+,30,1,A-,31,1,B,25,1,B,28,1,B+,31,1,B-,26,1,C+,20,1,C+,21,1,3,3.3275,1
Male,more than 6 hours,No,No,No,B,26,1,A+,30,1,B,27,1,C+,15,1,B,31,1,A+,30,1,B-,29,1,B,30,1,C,21,1,2.85,3.225,1
Male,5,No,No,Yes,A-,30,1,A+,31,1,A+,31,1,B,20,1,A+,31,1,A+,30,1,A-,30,1,B,21,1,B+,28,1,3.65,3.415,1
Male,5,No,No,Yes,C+,12,1,A-,31,1,C-,16,1,D+,5,1,C,21,1,B-,30,1,D+,12,1,D+,5,1,C-,20,1,1.91,2.145,0
Male,more than 6 hours,No,No,No,B+,24,1,A-,29,1,B,25,1,B-,20,1,B+,26,1,B+,25,1,C+,20,1,B,25,1,B-,25,1,2.97,3.325,1
Female,6,No,No,No,B+,28,1,A-,29,1,A-,28,1,C+,20,1,B-,29,1,B+,27,1,B,28,1,A-,29,1,B-,27,1,3.1,3.2875,1
Male,3,Yes,No,Yes,B+,20,1,B-,26,1,C,12,1,C+,20,1,B-,23,1,B,24,1,C+,20,1,B,21,1,C+,19,1,2.57,2.82,1
Male,1,Yes,Yes,Yes,C+,10,1,B+,31,1,C-,15,1,C,20,1,D+,10,1,C-,18,1,D,7,1,C-,10,1,C-,19,1,1.76,1.8575,0
Male,3,No,No,No,C,20,1,B,27,1,C,12,1,C+,20,1,D+,12,1,D+,15,1,D+,9,1,C-,26,1,D+,19,1,1.69,2.2375,0
Male,4,No,No,No,B,29,1,A+,29,1,A-,27,1,B-,25,1,B+,31,1,A+,29,1,A-,29,1,A+,31,1,B-,28,1,3.35,2.5075,1
Male,5,No,No,No,C,18,1,B,30,1,C,12,1,C-,10,1,D,15,1,C-,15,1,C+,18,1,C,15,1,C,20,1,1.93,2.74,0
Male,5,No,No,Yes,A-,29,1,A,25,1,A,28,1,B+,24,1,B,23,1,A+,29,1,C,19,1,A+,31,1,B,22,1,3.31,2.7,1
Male,3,No,No,Yes,B-,26,1,B,30,1,B,27,1,B,29,1,B-,32,1,A+,31,1,B-,31,1,B,29,1,C+,18,1,2.81,3.365,1
Male,2,No,No,No,B-,25,1,B-,24,1,B-,22,1,C,20,1,C-,18,1,B,23,1,C,20,1,A-,28,1,C-,15,1,2.31,2.615,0
Male,5,No,No,No,B+,27,1,A+,31,1,B+,15,1,B+,25,1,A+,31,1,A-,30,1,A,29,1,A+,30,1,B,25,1,3.55,3.085,1
Female,6,No,No,No,A-,31,1,A+,32,1,A+,30,1,B,27,1,A-,29,1,A-,29,1,A-,29,1,B,31,1,B+,30,1,3.59,3.6025,1
Female,more than 6 hours,No,No,No,A-,29,1,A,32,1,A+,30,1,C+,18,1,A-,28,1,A+,29,1,A-,29,1,B,27,1,B,24,1,3.5,3.5425,1
Female,5,No,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,1.565,0
Male,5,Yes,No,No,A,31,1,A+,30,1,A,28,1,A-,24,1,A-,27,1,A+,25,1,A,31,1,B,25,1,A-,25,1,3.81,3.96,1
Male,1,Yes,Yes,Yes,C+,23,1,B-,19,1,B,25,1,C,22,1,B,26,1,A,17,1,B-,26,1,B-,25,1,B-,18,1,2.77,1.8675,1
Male,less than 1 hour,Yes,Yes,No,A+,29,1,A+,30,1,B-,23,1,A,23,1,C+,26,1,A+,9,1,B,27,1,A+,26,1,B+,29,1,3.33,3.505,1
Male,1,No,Yes,No,B,31,1,B-,18,1,C,25,1,B,25,1,B+,26,1,A+,31,1,B,28,1,A+,29,1,A-,28,1,3.16,3.3875,1
Male,4,No,No,No,B+,31,1,A+,30,1,B+,27,1,A+,27,1,B-,25,1,A+,20,1,A+,29,1,A,30,1,A-,28,1,3.58,3.3125,1
Female,2,Yes,No,Yes,B,31,1,A+,28,1,B+,28,1,B,29,1,C,27,1,A+,27,1,B,30,1,A+,27,1,B+,23,1,3.17,3.1325,1
Female,2,Yes,No,Yes,A-,32,1,A-,29,1,A-,28,1,B,25,1,B-,26,1,A-,14,1,A-,28,1,B+,25,1,A-,23,1,3.49,3.1625,1
Male,3,No,No,Yes,B,32,1,A,31,1,C+,25,1,B+,24,1,C+,25,1,A-,22,1,B,31,1,B+,28,1,B-,30,1,2.91,2.965,1
Female,5,No,No,No,B,31,1,A+,30,1,A-,29,1,A-,25,1,B-,26,1,A-,30,1,B+,27,1,B+,25,1,A-,25,1,3.41,3.4725,1
Male,less than 1 hour,Yes,No,Yes,B+,31,1,A+,30,1,B+,27,1,B+,22,1,B,23,1,A+,11,1,B+,26,1,A+,27,1,B+,23,1,3.4,2.8,1
Male,3,No,No,Yes,B+,32,1,B+,29,1,B,26,1,B,26,1,C+,23,1,A+,28,1,B-,28,1,A-,25,1,B+,30,1,3.1,2.8625,1
Male,1,No,Yes,No,B+,31,1,A+,27,1,B+,24,1,A+,24,1,B,25,1,A+,18,1,A-,29,1,A+,31,1,A-,30,1,3.58,3.3125,1
Male,4,No,No,No,C+,30,1,B-,21,1,D,20,1,B,23,1,C-,22,1,B+,6,1,C+,22,1,A-,24,1,C,27,1,2.22,3.065,0
Male,5,No,No,No,B-,31,1,A-,28,1,C-,25,1,B-,24,1,C-,25,1,A+,24,1,B-,28,1,B+,29,1,B-,29,1,2.63,3.05,0
Male,more than 6 hours,No,No,Yes,A-,31,1,A,29,1,B-,28,1,A+,25,1,B+,26,1,A+,29,1,B+,31,1,A+,30,1,B+,28,1,3.46,3.3525,1
Male,6,No,No,No,B+,29,1,A,29,1,A-,27,1,B,25,1,B-,27,1,A+,19,1,B+,30,1,A,28,1,A+,30,1,3.53,3.05,1
Male,2,Yes,No,Yes,A-,31,1,A-,28,1,B+,30,1,A+,25,1,B+,27,1,A+,8,1,A-,27,1,A,31,1,A+,30,1,3.71,3.4375,1
Female,more than 6 hours,No,No,Yes,B,31,1,B,26,1,B,29,1,A-,31,1,B,27,1,A-,30,1,A-,32,1,B,27,1,B+,25,1,3.25,3.5575,1
Female,5,No,No,No,A+,32,1,A+,33,1,A+,32,1,A+,29,1,A-,27,1,A+,27,1,A+,32,1,A+,29,1,A+,31,1,3.96,2.9675,1
Female,3,Yes,No,Yes,B,31,1,B+,29,1,B-,26,1,B+,26,1,C,26,1,A+,23,1,B,29,1,A-,25,1,A,23,1,3.18,3.0975,1
Male,3,No,Yes,No,C+,31,1,A,27,1,B,25,1,A+,24,1,B-,25,1,A,12,1,B,27,1,A,25,1,B+,28,1,3.13,3.15,1
Male,1,No,Yes,Yes,C+,31,1,B,22,1,D+,28,1,B+,30,1,D,25,1,A-,31,1,C-,27,1,A-,25,1,D+,25,1,2.01,2.325,0
Male,4,Yes,No,No,B+,31,1,B,28,1,C,25,1,B-,25,1,C+,22,1,A-,16,1,B-,30,1,A-,29,1,A-,28,1,2.99,2.9625,1
Female,4,No,No,Yes,B,31,1,B,29,1,C+,23,1,B,26,1,C+,25,1,A+,10,1,B-,30,1,B+,26,1,B-,25,1,2.8,3.11,1
Male,4,No,No,No,C+,28,1,ab,6,0,D+,26,1,B,15,1,E,12,1,A+,29,1,C,18,1,B-,14,1,D+,16,1,1.65,3.2475,0
Male,less than 1 hour,Yes,Yes,No,B,31,1,B+,29,1,C,26,1,A,28,1,C-,25,1,A+,26,1,B,31,1,A,28,1,A-,30,1,3.05,3.34,0
Male,2,Yes,No,No,B+,31,1,B-,25,1,B,23,1,B,24,1,B,24,1,A+,30,1,B-,26,1,A,25,1,A,28,1,3.31,2.98,1
Male,3,No,No,Yes,B-,31,1,B-,20,1,C+,26,1,B,22,1,B-,26,1,A,21,1,B,30,1,A,27,1,A-,27,1,3.08,2.79,1
Male,1,No,Yes,Yes,A-,31,1,B,26,1,B-,24,1,A,18,1,B,26,1,A+,15,1,B,27,1,A+,29,1,A-,28,1,3.39,3.3275,1
Male,5,No,No,No,B,31,1,B,29,1,C+,22,1,A,25,1,B,25,1,A,28,1,C,23,1,A+,25,1,B-,29,1,2.91,3.06,1
Male,2,No,No,No,C,31,1,C,18,1,C-,24,1,B,23,1,D,16,1,A,13,1,C+,29,1,A,25,1,C+,30,1,2.26,2.595,0
Male,less than 1 hour,Yes,No,Yes,C+,30,1,C-,6,1,C-,19,1,B-,18,1,D+,12,1,A,25,1,C+,26,1,B,22,1,C+,25,1,2.23,2.89,0
Male,3,No,No,No,C+,31,1,B+,29,1,C+,27,1,A-,25,1,C,24,1,A+,22,1,C-,24,1,A,25,1,B+,28,1,2.77,3.26,0
Female,6,No,No,No,A,29,1,A-,29,1,A,27,1,A+,31,1,A-,27,1,A+,9,1,A+,30,1,A,27,1,A+,28,1,3.94,3.435,1
Male,1,No,No,Yes,B-,30,1,B,27,1,D+,20,1,B,22,1,C,23,1,B-,30,1,C,26,1,B,24,1,B,30,1,2.45,2.9275,0
Male,6,No,No,No,C,31,1,B,29,1,D,23,1,C+,26,1,C-,25,1,B,17,1,C,27,1,C,25,1,C,30,1,1.98,2.7625,0
Male,6,No,No,Yes,B-,31,1,B+,28,1,C,24,1,B,25,1,C+,25,1,A,6,1,B-,27,1,A-,25,1,B+,30,1,2.89,3.355,1
Female,6,No,No,Yes,A-,30,1,B,28,1,A-,30,1,B,23,1,A-,26,1,A,28,1,A-,29,1,A-,27,1,A,25,1,3.69,3.4675,1
Female,1,Yes,No,Yes,B-,30,1,A-,28,1,C+,25,1,B-,25,1,C,25,1,B+,20,1,C+,26,1,B+,25,1,B+,30,1,2.77,3.075,1
Female,6,No,Yes,No,B-,30,1,A-,27,1,B-,25,1,B,24,1,B-,25,1,A+,11,1,B+,29,1,A,25,1,A-,25,1,3.24,3.065,1
Male,3,Yes,No,Yes,A-,31,1,A,30,1,B+,26,1,A+,31,1,A,25,1,A+,30,1,B+,31,1,A+,27,1,A,30,1,3.77,3.5025,1
Female,2,No,Yes,No,B+,30,1,A-,30,1,A+,32,1,A+,30,1,B,25,1,A+,23,1,B+,24,1,A,25,1,A+,30,1,3.66,3.3325,1
Female,5,No,No,Yes,B+,30,1,B+,28,1,B,26,1,A,25,1,C+,27,1,A+,14,1,B,28,1,A,26,1,B+,25,1,3.23,3.2075,1
Male,6,No,No,No,B,29,1,B+,28,1,C,24,1,A-,26,1,C+,25,1,A,27,1,C+,24,1,A,29,1,A+,30,1,3.08,3.2825,1
Male,4,Yes,No,Yes,C+,31,1,C+,25,1,C+,24,1,A-,26,1,C,22,1,A+,19,1,B-,29,1,A,26,1,B,25,1,2.77,2.6825,1
Female,4,No,No,No,B+,28,1,B,27,1,A-,0,1,B,28,1,B-,26,1,A+,25,1,B,0,1,B+,27,1,A+,23,1,3.38,3.0725,1
Male,3,No,Yes,No,C,29,1,C,20,1,D+,27,1,C-,10,1,C-,24,1,B+,22,1,C+,26,1,B-,27,1,C,14,1,2.02,2.7625,0
Male,4,No,No,Yes,C+,30,1,B-,29,1,D,22,1,B,25,1,C-,24,1,A,8,1,B-,28,1,B,26,1,C+,28,1,2.33,2.9425,0
Male,3,Yes,No,No,C-,30,1,B-,28,1,D,22,1,C,21,1,D,23,1,A,29,1,C-,28,1,C+,25,1,D+,23,1,1.71,2.7475,0
Female,5,No,No,No,B,30,1,B+,28,1,B+,23,1,A+,27,1,B+,26,1,A+,24,1,A-,27,1,A+,30,1,A,28,1,3.59,3.46,1
Female,4,Yes,No,No,C+,31,1,B+,22,1,C,28,1,C+,25,1,C-,24,1,B+,15,1,C,30,1,C+,26,1,B+,28,1,2.47,3.135,1
Male,4,No,No,No,B,30,1,A+,29,1,C+,23,1,B-,29,1,C,27,1,A+,30,1,B,27,1,A+,27,1,B-,28,1,2.89,3.205,1
Female,2,Yes,No,No,B-,27,1,B,27,1,C+,30,1,B,26,1,C,24,1,B+,13,1,B+,29,1,A,26,1,B+,23,1,2.92,2.9525,1
Male,6,No,No,No,C-,31,1,B,18,1,C,24,1,C+,18,1,C-,17,1,B+,28,1,B+,30,1,C+,26,1,C-,11,1,2.23,2.145,0
Male,less than 1 hour,Yes,No,Yes,B+,30,1,A-,28,1,A-,25,1,A,25,1,A-,26,1,A+,9,1,A,29,1,A+,33,1,A,30,1,3.09,3.0125,1
Female,3,No,No,Yes,B,18,1,A,28,1,B-,32,1,A,29,1,C+,23,1,A+,31,1,B-,32,1,B,25,1,B,25,1,3.03,2.9225,1
Male,4,No,No,No,D+,30,1,C,12,1,E,23,1,C-,18,1,E,8,1,A-,26,1,C-,28,1,C+,24,1,D+,27,1,1.31,2.67,0
Male,3,No,No,No,C,27,1,B-,25,1,D+,20,1,C+,18,1,C+,24,1,A+,17,1,B-,27,1,C+,23,1,C,25,1,2.26,3.1075,0
Male,2,No,Yes,No,C-,31,1,B+,21,1,C-,22,1,C+,19,1,E,13,1,A+,30,1,C+,27,1,A+,29,1,B-,25,1,2.21,2.8425,0
Male,5,No,No,No,C+,27,1,C+,20,1,C-,15,1,B-,24,1,D,13,1,A,19,1,B-,26,1,B,26,1,B-,27,1,2.37,2.93,0
Male,3,No,No,No,C,28,1,B,28,1,C-,22,1,B,25,1,C+,26,1,B+,23,1,C+,29,1,B+,26,1,B-,30,1,2.49,2.5075,0
Male,2,Yes,No,No,C-,29,1,D+,12,1,ab,0,0,C,25,1,ab,8,0,C+,12,1,C,29,1,C,26,1,ab,12,0,1,2.305,0
Male,1,Yes,No,Yes,D+,29,1,D,12,1,ab,0,0,C+,26,1,ab,11,0,B+,18,1,D,29,1,C-,25,1,ab,12,0,0.86,1.88,0
Male,3,No,No,No,B,28,1,A+,27,1,C,29,1,A-,28,1,B+,27,1,A+,28,1,B+,29,1,A+,30,1,C+,27,1,3.05,3.3775,1
Male,2,No,No,No,B,24,1,A,23,1,B-,25,1,B,24,1,A+,25,1,A+,24,1,A-,25,1,A+,26,1,B,24,1,3.39,3.2575,1
Male,4,No,No,No,A-,30,1,A-,29,1,A-,31,1,B+,30,1,A+,30,1,A+,31,1,A+,30,1,A-,31,1,B,30,1,3.63,3.6225,1
Male,3,No,Yes,No,A+,26,1,A+,25,1,A,27,1,A,26,1,A,26,1,A+,27,1,A+,26,1,A+,27,1,B,26,1,3.8,3.6275,1
Female,5,Yes,No,No,A-,22,1,A+,21,1,A+,23,1,B,22,1,A+,22,1,A+,23,1,A+,22,1,A,23,1,A-,22,1,3.83,3.4725,1
Male,3,Yes,No,Yes,A,29,1,A+,28,1,A-,30,1,A-,29,1,A-,29,1,A+,30,1,A-,29,1,A+,30,1,B+,29,1,3.72,3.6525,1
Male,2,No,Yes,No,B+,25,1,A+,24,1,B+,26,1,A+,25,1,A,25,1,A+,26,1,B+,25,1,A+,26,1,B-,25,1,3.46,2.6225,1
Male,less than 1 hour,Yes,Yes,Yes,B,28,1,A+,27,1,C+,29,1,B,28,1,B,28,1,A-,29,1,A-,28,1,A+,29,1,C,28,1,2.98,3.2875,1
Female,6,No,No,No,B,21,1,B+,20,1,B-,22,1,C+,21,1,A+,21,1,A+,22,1,A-,21,1,A-,22,1,B-,21,1,3.21,3.155,1
Male,less than 1 hour,Yes,Yes,Yes,A+,30,1,A+,29,1,A+,31,1,B,30,1,A+,30,1,A,31,1,A+,30,1,A+,31,1,A-,30,1,3.87,3.55,1
Female,6,No,No,Yes,ab,26,0,A-,25,1,C-,27,1,B-,26,1,B-,26,1,A+,27,1,B,26,1,A+,27,1,C,26,1,2.35,3.15,0
Male,5,Yes,No,No,B,19,1,B,18,1,C+,20,1,B,19,1,B-,19,1,A+,20,1,A-,19,1,A+,20,1,C+,19,1,2.95,3.04,1
Male,3,Yes,No,Yes,B,30,1,A,29,1,C,31,1,C,30,1,B-,30,1,C+,31,1,B+,30,1,A-,31,1,C,30,1,2.67,2.6775,1
Male,4,No,No,Yes,C+,23,1,B,22,1,E,24,1,B,23,1,C,23,1,B,24,1,D+,23,1,B+,24,1,C-,23,1,1.9,2.29,0
Female,1,Yes,No,No,A-,26,1,A,25,1,B+,27,1,B-,26,1,A-,26,1,A+,27,1,B,26,1,A+,27,1,A-,26,1,3.55,2.9775,1
Male,1,No,No,Yes,A-,29,1,A,28,1,B,30,1,B,29,1,B+,29,1,A-,30,1,A,29,1,A,30,1,C,29,1,3.25,2.42,1
Female,3,Yes,No,No,A+,22,1,A+,21,1,A+,23,1,B+,22,1,A+,22,1,A+,23,1,A+,22,1,A+,23,1,A+,22,1,3.95,3.715,1
Female,6,Yes,No,Yes,ab,30,0,ab,29,0,ab,31,0,ab,30,0,ab,30,0,ab,31,0,ab,30,0,ab,31,0,ab,30,0,0,1.95,0
Male,less than 1 hour,Yes,Yes,Yes,B+,24,1,A,23,1,B-,25,1,A,24,1,B+,24,1,A,25,1,B+,24,1,B,25,1,B,24,1,3.28,2.9175,1
Female,3,No,No,Yes,B-,30,1,A+,29,1,B,31,1,A,30,1,A,30,1,A+,31,1,A-,30,1,A+,31,1,B,30,1,3.45,2.28,1
Male,4,Yes,No,No,A-,28,1,A+,27,1,B,29,1,B,28,1,A-,28,1,A+,29,1,A+,28,1,B+,29,1,B,28,1,3.47,3.175,1
Female,2,No,No,No,B+,21,1,A,20,1,B-,22,1,C+,21,1,B+,21,1,A+,22,1,A,21,1,A,22,1,C,21,1,3.13,3.1025,1
Female,less than 1 hour,Yes,No,No,B,30,1,B-,29,1,B+,31,1,C,30,1,B-,30,1,A-,31,1,B+,30,1,B+,31,1,C+,30,1,2.88,3.1175,1
Female,4,No,No,No,D+,24,1,B+,23,1,C-,25,1,C,24,1,B-,24,1,A-,25,1,B,24,1,A+,25,1,C,24,1,2.43,2.6075,0
Male,3,Yes,No,No,B,29,1,A-,28,1,C-,30,1,C+,29,1,B,29,1,A+,30,1,B-,29,1,A,30,1,C,29,1,2.72,2.6525,0
Male,less than 1 hour,No,No,Yes,B+,21,1,A-,20,1,B+,22,1,B,21,1,B+,21,1,A+,22,1,B,21,1,A-,22,1,C+,21,1,3.14,2.7825,1
Male,1,No,No,Yes,A-,30,1,A,29,1,C+,31,1,B,30,1,B-,30,1,A+,31,1,A-,30,1,B,31,1,B-,30,1,3.13,3.04,1
Male,3,No,No,No,A-,25,1,A,24,1,C+,26,1,B,25,1,B,25,1,A+,26,1,A,25,1,A,26,1,B,25,1,3.33,2.725,1
Female,4,No,No,No,ab,27,0,C-,26,1,D+,28,1,C+,27,1,C+,27,1,A-,28,1,C,27,1,A-,28,1,B,27,1,2.11,2.385,0
Male,2,No,Yes,Yes,A-,30,1,A+,29,1,A-,31,1,B,30,1,A+,30,1,A,31,1,A,30,1,A,31,1,"B
C",30,1,3.65,2.9925,1
Female,3,Yes,No,No,B-,26,1,A,25,1,B-,27,1,B-,26,1,B,26,1,A,27,1,B-,26,1,A,27,1,C+,26,1,2.92,2.245,1
Male,2,No,No,No,B+,19,1,A,18,1,C-,20,1,A-,19,1,B+,19,1,A,20,1,A-,19,1,A,20,1,C+,19,1,3.11,2.6075,0
Male,5,No,No,No,C-,30,1,B,29,1,C-,31,1,C,30,1,C,30,1,ab,31,0,C+,30,1,B-,31,1,C,30,1,1.94,1.815,0
Male,2,No,No,No,C+,24,1,B+,23,1,B-,25,1,B-,24,1,C+,24,1,A+,25,1,B,24,1,B+,25,1,B-,24,1,2.8,2.65,1
Male,6,No,No,Yes,ab,27,0,A-,26,1,C-,28,1,B,27,1,C,27,1,A+,28,1,B-,27,1,A+,28,1,C,27,1,2.34,2.595,0
Male,less than 1 hour,No,Yes,No,B,30,1,A,29,1,C,31,1,C,30,1,B,30,1,A,31,1,A-,30,1,A+,31,1,B-,30,1,3.03,2.0475,1
Male,2,Yes,No,No,B,22,1,C,21,1,C,23,1,C,22,1,C+,22,1,B,23,1,C,22,1,B+,23,1,ab,22,0,1.93,1.3875,1
Male,3,No,Yes,No,B-,28,1,A-,27,1,C,29,1,B-,28,1,B+,28,1,A,29,1,B-,28,1,A+,29,1,C,28,1,2.79,2.6975,1
Male,2,Yes,No,Yes,B,19,1,B+,18,1,C-,20,1,B-,19,1,B,19,1,A+,20,1,B-,19,1,A+,20,1,C,19,1,2.72,2.63,0
Male,4,No,No,No,A,30,1,A,29,1,A-,31,1,B,30,1,A-,30,1,A+,31,1,A-,30,1,A+,31,1,A-,30,1,3.75,3.015,1
Male,4,No,No,Yes,A,25,1,A,24,1,C,26,1,B-,25,1,A+,25,1,A+,26,1,A+,25,1,A,26,1,B,25,1,3.45,3.1125,1
Male,less than 1 hour,Yes,Yes,Yes,A-,27,1,A-,26,1,C,28,1,C,27,1,B,27,1,A+,28,1,B+,27,1,B,28,1,C+,27,1,2.9,3.0825,1
