Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CS3221,CS3221_CA,CS3221_attendance,CS3211,CS3211_CA,CS3211_attendance,CS3233,CS3233_CA,CS3233_attendance,CS3224,CS3224_CA,CS3224_attendance,CS3214,CS3214_CA,CS3214_attendance,CS3222,CS3222_CA,CS3222_attendance,CS3212,CS3212_CA,CS3212_attendance,CS3235,CS3235_CA,CS3235_attendance,6sem_gpa,5th_sem_GPA,6sem_pass/fail
Female,2,Yes,No,Yes,A-,29,1,A,9,1,B-,20,1,B+,25,1,B+,22,1,B-,28,1,B,19,1,A+,27,1,3.36,2.806666667,1
Male,1,Yes,Yes,No,B-,28,1,A,12,1,C-,19,1,B,26,1,B,23,1,C,19,1,C+,24,1,B-,26,1,2.61,2.411666667,0
Male,2,Yes,Yes,No,B,28,1,A,22,1,A,25,1,A-,30,1,A+,26,1,C,20,1,A+,26,1,B-,25,1,3.32,3.218333333,1
Male,4,No,No,No,C,29,1,A,19,1,D+,8,1,C,23,1,A,21,1,C-,5,1,C+,16,1,B-,25,1,2.56,1.788333333,0
Male,less than 1 hour,Yes,Yes,Yes,B,25,1,A-,20,1,B+,25,1,A,27,1,B-,14,1,B,22,1,A+,26,1,B,24,1,3.15,3.095,1
Female,3,No,No,Yes,ab,21,0,ab,21,0,ab,27,0,ab,30,0,ab,29,0,ab,25,0,ab,28,0,ab,26,0,0,1.625,0
Female,2,No,No,Yes,A+,28,1,A,27,1,A+,33,1,A,29,1,A+,31,1,A-,31,1,A+,29,1,A+,30,1,3.96,3.49,1
Male,1,Yes,Yes,Yes,C,21,1,A-,26,1,B+,23,1,B,22,1,A+,30,1,B,29,1,A+,29,1,A+,32,1,3.31,2.251666667,1
Male,more than 6 hours,No,No,No,B-,29,1,A,30,1,A-,26,1,A-,31,1,A,30,1,B-,29,1,B,27,1,B+,31,1,3.35,3.52,1
Male,less than 1 hour,Yes,No,No,A,31,1,A+,31,1,A+,32,1,A-,30,1,A+,32,1,A-,29,1,A,30,1,A+,32,1,3.92,3.046666667,1
Male,more than 6 hours,No,No,No,A+,33,1,A,30,1,A+,33,1,A+,31,1,A-,31,1,A,30,1,A+,30,1,A+,31,1,3.98,2.573333333,1
Male,2,Yes,No,Yes,B+,31,1,A,27,1,A-,31,1,C+,10,1,A,31,1,B-,31,1,A-,30,1,B,22,1,3.23,3.363333333,1
Female,4,No,No,Yes,A+,31,1,A-,30,1,A+,30,1,A-,32,1,A,30,1,A-,30,1,A+,32,1,A+,31,1,3.9,2.698333333,1
Male,2,Yes,No,No,B+,29,1,B+,32,1,B,21,1,B-,28,1,B+,25,1,B-,16,1,A+,32,1,B+,28,1,3.13,2.671666667,1
Male,less than 1 hour,Yes,No,No,B-,28,1,A,32,1,A-,26,1,B,29,1,B,20,1,B,17,1,A+,32,1,A,28,1,3.43,2.84,1
Female,4,Yes,No,Yes,A+,29,1,A+,32,1,A+,33,1,A,30,1,A+,33,1,A-,30,1,A+,32,1,A+,29,1,3.96,3.83,1
Female,4,No,No,Yes,B+,29,1,A+,30,1,A+,32,1,B+,26,1,B+,25,1,B-,25,1,A-,31,1,A-,30,1,3.51,2.988333333,1
Male,2,No,No,No,A,30,1,A,27,1,B+,31,1,B,23,1,B+,25,1,B-,25,1,A,31,1,B+,25,1,3.36,2.29,1
Male,1,Yes,No,Yes,B+,24,1,A,30,1,A,30,1,B,26,1,A,33,1,B,28,1,A-,31,1,B-,25,1,3.36,2.803333333,1
Female,3,Yes,No,No,B-,25,1,B,30,1,B,27,1,B,27,1,B,32,1,C+,10,1,A,31,1,B,25,1,2.93,1.348333333,1
Male,2,Yes,No,Yes,B,28,1,A,29,1,C,17,1,B+,30,1,B,28,1,A,29,1,C+,20,1,A-,28,1,3.13,3.421666667,1
Female,more than 6 hours,No,No,No,A-,24,1,A,19,1,B-,20,1,A,27,1,B+,22,1,A-,25,1,C,20,1,A,29,1,3.48,3.376666667,1
Male,less than 1 hour,Yes,No,Yes,A+,30,1,A+,29,1,B+,28,1,A,30,1,B,31,1,A,30,1,A-,29,1,A+,30,1,3.77,3.786666667,1
Male,1,Yes,Yes,No,B,25,1,A,23,1,C,24,1,B+,27,1,C+,20,1,A-,26,1,B,24,1,A-,25,1,3.09,3.513333333,1
Male,less than 1 hour,Yes,No,Yes,C+,19,1,A-,28,1,C+,27,1,B-,31,1,B,30,1,A,29,1,C,18,1,B+,29,1,2.9,3.378333333,1
Male,5,No,No,No,A,28,1,A,28,1,A-,28,1,B+,21,1,B-,19,1,A+,30,1,B,26,1,A,30,1,3.69,3.68,1
Male,2,Yes,No,Yes,B+,25,1,B+,31,1,B,30,1,B,33,1,C+,12,1,A,31,1,D+,10,1,A-,32,1,3.17,3.323333333,0
Male,less than 1 hour,No,Yes,No,C,10,1,A,28,1,C+,22,1,B+,26,1,C+,12,1,B,25,1,C+,10,1,C,15,1,2.54,2.655,1
Female,3,Yes,No,No,B-,27,1,A,28,1,C+,25,1,B,29,1,B-,28,1,B+,29,1,B,26,1,B+,27,1,2.97,3.563333333,1
Male,3,Yes,No,No,C,15,1,B,25,1,D+,12,1,C+,22,1,B+,25,1,A,28,1,C,20,1,A-,29,1,2.66,3.22,0
Male,2,Yes,No,No,B,31,1,B+,30,1,B,29,1,B,32,1,B+,25,1,B+,28,1,D,9,1,B,31,1,2.95,2.835,0
Male,1,Yes,Yes,No,D,7,1,B+,22,1,D+,9,1,C,20,1,C,23,1,B,24,1,E,8,1,C,15,1,1.81,2.65,0
Male,2,No,Yes,Yes,A-,28,1,A-,27,1,B+,25,1,B+,30,1,C+,20,1,B,29,1,B+,27,1,A,30,1,3.41,3.218333333,1
Male,more than 6 hours,No,No,No,C+,19,1,B+,30,1,C,19,1,B,30,1,C,19,1,A+,32,1,C,20,1,B,30,1,2.73,3.1,1
Male,5,No,No,Yes,B,24,1,A,28,1,A,29,1,A,30,1,B,22,1,A,32,1,C,19,1,A,30,1,3.67,3.493333333,1
Male,5,No,No,Yes,D,10,1,B,29,1,D,8,1,C-,12,1,D+,10,1,C+,10,1,D,10,1,D+,10,1,1.48,2.066666667,0
Male,more than 6 hours,No,No,No,B,25,1,A-,22,1,C+,12,1,B+,26,1,C,20,1,B,26,1,C+,20,1,B+,28,1,2.89,3.206666667,1
Female,6,No,No,No,B+,27,1,A,26,1,D+,7,1,A-,30,1,C,20,1,A,29,1,C,21,1,B,27,1,2.86,3.225,0
Male,3,Yes,No,Yes,C,21,1,B,19,1,C+,20,1,C+,10,1,C+,20,1,B,23,1,C+,21,1,C,21,1,2.34,2.736666667,1
Male,1,Yes,Yes,Yes,D+,10,1,C,10,1,D,12,1,C-,10,1,D,10,1,D+,10,1,D+,15,1,D+,12,1,1.32,1.825,0
Male,3,No,No,No,C,20,1,B,23,1,D+,15,1,B,28,1,C+,20,1,C,21,1,D,10,1,C,19,1,2.01,2.055,0
Male,4,No,No,No,B+,29,1,A+,28,1,A-,27,1,B+,28,1,B+,30,1,A,31,1,B,28,1,A,29,1,3.64,2.788333333,1
Male,5,No,No,No,C-,15,1,C+,12,1,D+,9,1,C+,10,1,C,19,1,C,20,1,D+,11,1,C,18,1,1.83,2.47,0
Male,5,No,No,Yes,A,29,1,A-,19,1,A,27,1,B+,24,1,B,23,1,A,31,1,B+,25,1,A+,30,1,3.77,2.903333333,1
Male,3,No,No,Yes,C,16,1,B,31,1,C+,21,1,B-,28,1,B+,30,1,B,28,1,B+,25,1,B,30,1,2.73,3.18,1
Male,2,No,No,No,C-,26,1,B-,24,1,D+,25,1,C+,28,1,D,9,1,C+,15,1,C,13,1,B+,26,1,2.14,2.513333333,0
Male,5,No,No,No,A,27,1,A+,29,1,A+,31,1,A,30,1,B,24,1,B+,25,1,A,29,1,A+,32,1,3.84,3.24,1
Female,6,No,No,No,A-,25,1,A,29,1,A-,28,1,B+,30,1,B+,30,1,A+,30,1,A,30,1,A,32,1,3.76,3.598333333,1
Female,more than 6 hours,No,No,No,B+,27,1,A,28,1,B,27,1,A+,30,1,C+,18,1,A-,29,1,B+,28,1,A-,32,1,3.45,3.528333333,1
Female,5,No,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,1.043333333,0
Male,5,Yes,No,No,A+,26,1,A+,28,1,B+,25,1,A+,29,1,A+,30,1,A+,31,1,A,28,1,B+,30,1,3.77,3.91,1
Male,1,Yes,Yes,Yes,B-,23,1,B+,20,1,B-,24,1,A,22,1,C-,21,1,C+,23,1,B-,25,1,A-,26,1,2.77,2.168333333,0
Male,less than 1 hour,Yes,Yes,No,B+,29,1,A-,31,1,B-,28,1,A+,30,1,B,29,1,A,32,1,B+,29,1,A,28,1,3.46,3.446666667,1
Male,1,No,Yes,No,B+,27,1,A-,26,1,B,28,1,A+,27,1,B-,28,1,B+,30,1,A-,27,1,A,25,1,3.38,3.311666667,1
Male,4,No,No,No,A,31,1,A-,30,1,B+,29,1,A+,31,1,C+,32,1,B,31,1,A,29,1,A,30,1,3.41,3.401666667,1
Female,2,Yes,No,Yes,B,25,1,B,24,1,B,23,1,A+,25,1,C+,24,1,B+,27,1,A-,26,1,B-,28,1,2.95,3.145,1
Female,2,Yes,No,Yes,B,30,1,B,32,1,C+,28,1,A,31,1,B-,29,1,A,28,1,B+,30,1,B,29,1,3.06,3.271666667,1
Male,3,No,No,Yes,B-,32,1,A+,31,1,C+,30,1,A+,32,1,B-,31,1,C+,29,1,B+,31,1,B+,30,1,2.92,2.946666667,1
Female,5,No,No,No,B,29,1,B+,28,1,B+,27,1,A+,29,1,C+,27,1,A-,29,1,A-,28,1,B+,27,1,3.19,3.451666667,1
Male,less than 1 hour,Yes,No,Yes,B+,24,1,A-,23,1,C+,22,1,A+,24,1,B-,23,1,B,21,1,B,23,1,A,22,1,3.2,3,1
Male,3,No,No,Yes,C+,31,1,A,30,1,C+,29,1,A+,31,1,C,30,1,C+,31,1,A-,29,1,A+,30,1,2.9,2.941666667,1
Male,1,No,Yes,No,A-,27,1,A,25,1,B-,24,1,A+,26,1,C,28,1,A-,27,1,A-,26,1,A+,24,1,3.33,3.401666667,1
Male,4,No,No,No,C+,29,1,B+,31,1,C,28,1,A-,30,1,D+,29,1,C,30,1,B-,29,1,B-,28,1,2.29,2.783333333,0
Male,5,No,No,No,B,28,1,A,27,1,B,26,1,A+,29,1,C,27,1,B-,29,1,B,26,1,B+,27,1,2.95,2.91,1
Male,more than 6 hours,No,No,Yes,A-,20,1,A+,21,1,B,19,1,A+,23,1,C+,21,1,C,20,1,A,22,1,A,21,1,3.22,3.388333333,1
